step	loss
1	2.3000235557556152
2	1.5467718839645386
3	0.8153910636901855
4	0.49191489815711975
5	0.2883755564689636
6	0.15975208580493927
7	0.3468523323535919
8	0.2953740954399109
9	0.13894717395305634
10	0.3557450473308563
11	0.1884864866733551
12	0.32775938510894775
13	0.15832920372486115
14	0.2781039774417877
15	0.4798550605773926
16	0.19838251173496246
17	0.42722976207733154
18	0.17835083603858948
19	0.06212817132472992
20	0.09008447825908661
21	0.21315088868141174
22	0.2148371934890747
23	0.2771616578102112
24	0.11613377928733826
25	0.13337886333465576
26	0.3387914299964905
27	0.08146243542432785
28	0.18092826008796692
29	0.19874665141105652
30	0.0714600682258606
31	0.1709546595811844
32	0.1459299623966217
33	0.03134052827954292
34	0.17626473307609558
35	0.2190135270357132
36	0.04240582510828972
37	0.03328869864344597
38	0.059056513011455536
39	0.14303666353225708
40	0.3270973861217499
41	0.1970452070236206
42	0.07290080934762955
43	0.1782154142856598
44	0.1416049599647522
45	0.15428493916988373
46	0.0719187930226326
47	0.1818813979625702
48	0.14714260399341583
49	0.09473881870508194
50	0.1195206269621849
51	0.15308059751987457
52	0.043634604662656784
53	0.09733115881681442
54	0.029447363689541817
55	0.1314517855644226
56	0.1596597135066986
57	0.04351620003581047
58	0.1479342132806778
59	0.2123379111289978
60	0.1916070282459259
61	0.12562327086925507
62	0.11388982832431793
63	0.1130097359418869
64	0.026991957798600197
65	0.010505396872758865
66	0.27823328971862793
67	0.040465667843818665
68	0.28743776679039
69	0.051846377551555634
70	0.08586357533931732
71	0.039307668805122375
72	0.11790847778320312
73	0.06726661324501038
74	0.11926659941673279
75	0.1418653428554535
76	0.05704628676176071
77	0.05822811648249626
78	0.10613307356834412
79	0.267238587141037
80	0.160805806517601
81	0.01578918844461441
82	0.008175903931260109
83	0.03747453913092613
84	0.06718092411756516
85	0.0767170712351799
86	0.05194758623838425
87	0.0134529834613204
88	0.05778657644987106
89	0.07199288159608841
90	0.024907704442739487
91	0.032839953899383545
92	0.004107294604182243
93	0.12975940108299255
94	0.05875754728913307
96	0.0607287771999836
97	0.16529566049575806
98	0.13724663853645325
99	0.03351147845387459
100	0.0329391248524189
101	0.014950862154364586
102	0.09390725195407867
103	0.2104034423828125
104	0.08173643797636032
105	0.20914223790168762
106	0.03574422001838684
107	0.15944980084896088
108	0.010280649177730083
109	0.0469527505338192
110	0.10940168797969818
111	0.03371633589267731
112	0.21221032738685608
